feature,correlation,abs_correlation,p_value
rectr_over_act,0.06507675239654144,0.06507675239654144,3.5185615497472645e-18
ebit_over_sale,0.06507270304004681,0.06507270304004681,3.535396606306144e-18
ibc_over_cogs,0.06504362406696916,0.06504362406696916,3.658649623841861e-18
oiadp_over_sale,0.06503262223218408,0.06503262223218408,3.706379430129683e-18
che_over_sale,-0.06502744294735012,0.06502744294735012,3.729061265383436e-18
dpact_over_at,0.06474192999082669,0.06474192999082669,5.216058358634014e-18
lct_over_sale,-0.06473588623725278,0.06473588623725278,5.253161101168438e-18
reuna_d_over_ppent,0.06472773596945368,0.06472773596945368,5.303608593664392e-18
caps_over_ppent,-0.06456868051988261,0.06456868051988261,6.389574314591356e-18
niadj_over_lt,0.06455270981080484,0.06455270981080484,6.510049716705233e-18
dilavx_over_cogs,0.06442824095884142,0.06442824095884142,7.529066100882686e-18
dilavx_over_ppent,0.06440338014060527,0.06440338014060527,7.75070833564334e-18
xrd_over_emp,-0.06430191990640553,0.06430191990640553,8.72399153108468e-18
che_over_lt,-0.06422606605079323,0.06422606605079323,9.529528627296387e-18
ppegt_over_lct,0.06422058861579526,0.06422058861579526,9.590459392847253e-18
ppegt_over_seq,0.06419045493553834,0.06419045493553834,9.932604711641014e-18
aco_over_sale,-0.0641852714534675,0.0641852714534675,9.992661476714156e-18
ibadj_over_cogs,0.06416163104911632,0.06416163104911632,1.0271138996450547e-17
ibcom_over_cogs,0.06413333307362906,0.06413333307362906,1.061456589217142e-17
rect_over_xsga,0.06407589045322624,0.06407589045322624,1.1346915517303834e-17
ebit_over_lt,0.06406548313004384,0.06406548313004384,1.1484836629781018e-17
ap_over_mktcap,0.0640620819773069,0.0640620819773069,1.1530267418750859e-17
ppeveb_over_seq,0.06405305068600661,0.06405305068600661,1.1651765030294165e-17
oiadp_over_lt,0.06403408959887355,0.06403408959887355,1.1910973138333457e-17
ppent_over_seq,0.06400637406373189,0.06400637406373189,1.2300127569806204e-17
niadj_over_ceq,0.06397270247425606,0.06397270247425606,1.2789822050659262e-17
ppent_over_lct,0.06394112125319314,0.06394112125319314,1.3266575857791383e-17
ibcom_over_ppent,0.0639335211124102,0.0639335211124102,1.3383901368048412e-17
ppeveb_over_lct,0.06380759785849509,0.06380759785849509,1.548366975293522e-17
caps_over_lct,-0.06376260490776532,0.06376260490776532,1.631016668940208e-17
oancf_over_cogs,0.06358646920366032,0.06358646920366032,1.9985743626062964e-17
reuna_over_ppent,0.06357157221571896,0.06357157221571896,2.033172471890524e-17
mrc1_over_sale,-0.06356122535030763,0.06356122535030763,2.05755003590919e-17
ppent_over_act,0.06354898492399283,0.06354898492399283,2.0867614502371215e-17
lco_over_sale,-0.06348763512633368,0.06348763512633368,2.2394492124398326e-17
ibadj_over_ppent,0.06343005329473483,0.06343005329473483,2.3927624371622117e-17
lct_over_mktcap,0.06331001376205797,0.06331001376205797,2.7464336011523785e-17
oibdp_over_lt,0.06319152270608758,0.06319152270608758,3.145988443597712e-17
ebitda_over_lt,0.06319152270608758,0.06319152270608758,3.145988443597712e-17
xsga_over_sale,-0.06318340360008634,0.06318340360008634,3.175375281887991e-17
pi_over_lt,0.06316904473324032,0.06316904473324032,3.2280110852474004e-17
pi_over_cogs,0.06316671544809647,0.06316671544809647,3.236630379221344e-17
capx_over_xsga,0.06315474812367808,0.06315474812367808,3.281273529071519e-17
re_d_over_ppent,0.06312532345851951,0.06312532345851951,3.393639023552477e-17
ebit_over_act,0.06309946141873492,0.06309946141873492,3.495528196212108e-17
capxv_over_xsga,0.06306997755211179,0.06306997755211179,3.6153707522956355e-17
oiadp_over_act,0.06303772455503243,0.06303772455503243,3.751113227885822e-17
act_over_mktcap,0.06300487467158283,0.06300487467158283,3.894533854879965e-17
fopo_over_ppent,-0.06300358322578328,0.06300358322578328,3.9002813807825826e-17
che_over_emp,-0.06294469625035831,0.06294469625035831,4.171436086796596e-17
re_over_ppent,0.06290785075719561,0.06290785075719561,4.35046713787833e-17
lct_over_xsga,0.0627538431795948,0.0627538431795948,5.1844817910640253e-17
re_d_over_cogs,0.06273892844941084,0.06273892844941084,5.2731750477049163e-17
acox_over_sale,-0.06259340690551263,0.06259340690551263,6.220990002314683e-17
lse_over_sale,-0.06258533147065064,0.06258533147065064,6.278247188431115e-17
at_over_sale,-0.06258533147065064,0.06258533147065064,6.278247188431115e-17
sstk_over_sale,-0.06256598070525048,0.06256598070525048,6.417573047254798e-17
re_d_over_xsga,0.06250888589161654,0.06250888589161654,6.846672104628385e-17
reuna_over_icapt,0.062441146867093324,0.062441146867093324,7.392577829803816e-17
fatn,0.06220057949662485,0.06220057949662485,9.701275365352454e-17
fatn_over_at,0.06220057949662483,0.06220057949662483,9.701275365352904e-17
fatn_over_mktcap,0.06220057949662482,0.06220057949662482,9.701275365352904e-17
fatn_over_lt,0.06211213088442212,0.06211213088442212,1.0717987931294968e-16
fatn_over_ppent,0.06210801503668585,0.06210801503668585,1.076777522040618e-16
re_over_icapt,0.0620799813818418,0.0620799813818418,1.1113002723011112e-16
reuna_d_over_xsga,0.06207875554178693,0.06207875554178693,1.112834512815578e-16
fatn_over_emp,0.061921290023494155,0.061921290023494155,1.3283118262154738e-16
fatn_over_icapt,0.061844692027004336,0.061844692027004336,1.447516247183303e-16
oancf_over_lt,0.06176923364113364,0.06176923364113364,1.5752419999721187e-16
txndba_over_xsga,0.061766099894722044,0.061766099894722044,1.5807800760176866e-16
ni_over_ppent,0.06173149856555675,0.06173149856555675,1.6432194989558873e-16
dpvieb_over_icapt,0.06171836870835265,0.06171836870835265,1.6675438468148466e-16
