ticker,form_year,alpha,beta_mkt,beta_smb,beta_hml,r_squared,n_years_used,years_range,mkt_rf,smb,hml,actual_excess_return,expected_return,prediction_error
ORLY,2024.0,0.267758511405991,-0.4943219099985339,0.5662194389303007,-0.026588152283263528,0.08268184493346065,22,2003-2024,17.32,-13.89,4.389999999999999,0.0758705011263674,0.10232685664159089,-0.02645635551522349
AVNT,2024.0,0.39964567860786776,-2.07463025040829,2.725683035371213,-0.38635437610358714,0.2582402015678187,22,2003-2024,17.32,-13.89,4.389999999999999,-0.09989071895997023,-0.35523861148685704,0.25534789252688683
JBL,2024.0,0.2422572823087226,-0.9473353981412316,-0.18206919143935268,0.4005855067516637,0.1405439051245173,22,2003-2024,17.32,-13.89,4.389999999999999,0.2774969522815062,0.12105390578798542,0.1564430464935208
ANIK,2024.0,0.3814779550318233,-1.1281290082596878,2.1983615596435744,-0.37487446483543285,0.03343539406735008,22,2003-2024,17.32,-13.89,4.389999999999999,-0.39715830722140616,-0.13572339883952256,-0.2614349083818836
TWI,2024.0,0.695163833893436,-1.5284460389127716,4.802601812528712,-3.5193673103040473,0.093334141920415,22,2003-2024,17.32,-13.89,4.389999999999999,-0.13065192055862046,-0.3911446367288418,0.26049271617022135
CDW,2024.0,0.4555135832786902,-1.9636598680529052,2.0596888974798757,-0.7838582101155349,0.6685536931635098,11,2014-2024,17.32,-13.89,4.389999999999999,-0.2645551217529688,-0.20509446915209967,-0.059460652600869135
FTK,2024.0,0.6778688791361043,-0.8882508522855085,1.9931981120475442,5.359860166819558,0.1427489653034294,17,2006-2024,17.32,-13.89,4.389999999999999,0.893954996392832,0.4824664750802289,0.41148852131260316
IRTC,2024.0,0.07667162754275549,0.8488769457470644,1.0992030231077325,1.0017912226729715,0.3988135767479991,8,2017-2024,17.32,-13.89,4.389999999999999,-0.20928166292133776,0.11499644931182643,-0.32427811223316416
LINK,2024.0,0.06781905418726872,-1.749285196407617,-2.653470156525327,-1.0103689539824987,0.4523839231015466,8,2003-2024,17.32,-13.89,4.389999999999999,0.5001631520972468,0.08905466583100569,0.41110848626624114
OFIX,2024.0,-0.3181931002744609,0.6926166971436947,-1.6757613176946666,-0.4931734391422332,0.2954362008186213,6,2019-2024,17.32,-13.89,4.389999999999999,0.2697607120170203,0.012881044720272173,0.2568796672967481
