feature,ranking
fato_over_sale_d,18
fato_over_cogs_d,18
fato_over_emp_d,17
fato_over_mktcap,17
fato_over_mktcap_d,17
fato_d_over_invt,17
fato_d_over_lct,17
fato_d_over_dltt,17
fatp_over_at_d,17
fatp_over_act_d,17
fatp_over_invt,17
fatp_over_invt_d,17
fatp_over_ppent_d,17
fatp_over_lt_d,17
fatp_over_dltt,17
fatp_over_ceq_d,17
fatp_over_icapt_d,17
fatp_over_sale_d,17
fatp_over_xsga_d,17
fatp_over_emp_d,18
fiao_over_dltt_d,18
fiao_over_mktcap,18
fiao_over_mktcap_d,18
fincf_over_invt,18
fincf_d_over_lt,18
fincf_d_over_dltt,19
fopo_over_invt,19
fopo_over_invt_d,19
fopo_over_lt_d,19
fopo_over_icapt_d,19
fopo_over_sale,19
fopo_over_sale_d,19
fopo_over_xsga,19
fopo_over_xsga_d,19
fopo_over_mktcap,19
fopo_over_mktcap_d,19
fopo_d_over_dltt,19
fopo_pd_minus_pd_invt,19
fopo_pd_minus_pd_icapt,19
fopo_pd_minus_pd_mktcap,19
fopox,19
fopox_over_ppent_d,19
fopox_over_lt_d,19
fopox_over_dltt,19
fopox_over_dltt_d,19
fopox_over_dltt_pd,19
fopox_over_icapt_d,19
fopox_over_xsga_d,19
fopox_over_mktcap_d,19
fopox_d_over_dltt,19
fopox_pd_minus_pd_invt,19
fopox_pd_minus_pd_lct,19
fopox_pd_minus_pd_icapt,19
gdwl_pd,18
gdwl_over_act_pd,19
gdwl_over_invt_d,18
gdwl_over_ppent_pd,18
gdwl_over_lt_pd,18
gdwl_over_lct_pd,18
gdwl_over_dltt_pd,18
gdwl_over_icapt_d,18
gdwl_over_sale,18
gdwl_over_cogs_pd,18
gdwl_over_xsga_d,18
gdwl_over_emp_pd,18
gdwl_d_over_invt,18
gdwl_d_over_dltt,18
gdwl_pd_minus_pd_ceq,18
gp_over_at_pd,18
gp_over_act_pd,18
gp_over_invt,18
gp_over_invt_d,18
gp_over_lct,18
gp_over_lct_pd,18
gp_over_dltt_d,18
gp_over_ceq_d,19
gp_over_icapt_d,19
gp_d_over_invt,19
gp_d_over_ppent,19
gp_d_over_dltt,19
gp_d_over_emp,19
gp_pd_minus_pd_ppent,19
ibcom_over_xsga_d,19
idit_over_ppent_d,19
idit_over_lt_d,19
idit_over_icapt_d,19
idit_over_sale,19
idit_over_cogs_d,19
idit_over_mktcap_d,19
intan_over_act_d,19
intan_over_ppent_d,19
intan_over_lt_d,19
intan_over_lct_d,19
intan_over_dltt_pd,19
intan_over_seq_d,19
intan_over_icapt_d,19
intan_over_xsga_d,19
intan_over_emp_d,19
intan_d_over_icapt,19
intan_pd_minus_pd_ceq,19
intc_over_invt_d,19
intc_over_lct,19
intc_over_lct_d,19
intc_over_dltt_d,19
intc_over_seq_d,19
intc_over_cogs_d,19
intc_over_xsga,19
intc_over_mktcap_d,19
intc_d_over_ceq,19
intpn_over_act_d,19
intpn_over_invt,19
intpn_over_invt_d,19
intpn_over_invt_pd,19
intpn_over_ppent,19
intpn_over_lct_d,19
intpn_over_dltt,19
intpn_over_seq_d,19
intpn_over_xsga,19
intpn_over_xsga_d,19
intpn_over_xsga_pd,19
intpn_over_mktcap,19
intpn_over_mktcap_pd,19
intpn_d_over_invt,19
intpn_d_over_dltt,19
intpn_d_over_mktcap,19
intpn_pd_minus_pd_at,19
intpn_pd_minus_pd_dltt,19
intpn_pd_minus_pd_cogs,19
invch_over_ppent,18
invch_d_over_cogs,18
invfg_over_act_d,18
invfg_over_ppent_d,18
invfg_over_lct_d,18
invfg_over_dltt,18
invfg_over_seq_d,18
invfg_over_icapt_d,18
invfg_over_cogs_d,18
invfg_over_xsga_d,18
invfg_over_emp_d,18
invfg_over_mktcap_d,18
invfg_d_over_sale,18
invo_over_act_d,17
invo_over_ppent_d,17
invo_over_lct_d,16
invo_over_seq_d,8
invo_over_mktcap_d,8
invo_d_over_ceq,8
invrm,8
invrm_over_ppent_d,8
invrm_over_lct_d,8
invrm_over_dltt,8
invrm_over_cogs,8
invrm_over_cogs_d,8
invrm_over_xsga_d,8
invrm_over_emp_d,8
invrm_d_over_dltt,5
invwip_over_act_d,5
invwip_over_ppent_d,5
invwip_over_lt_d,5
invwip_over_dltt,5
invwip_over_seq_d,5
invwip_over_sale_d,5
itcb_over_invt_d,2
itcb_over_lct_d,2
itcb_over_dltt_d,3
itcb_over_ceq,3
itcb_over_ceq_d,3
itcb_over_sale,3
itcb_over_xsga_d,4
itcb_over_emp_d,6
itcb_d_over_invt,4
itcb_d_over_dltt,5
itcb_d_over_xsga,5
itci_over_lt_d,4
itci_over_sale,5
itci_over_cogs_d,5
itci_over_emp_d,4
itci_d_over_act,4
ivaco_over_invt_d,3
ivaco_over_dltt_d,3
ivaco_over_ceq,3
ivaco_over_sale_d,3
ivaco_d_over_dltt,3
ivaeq_over_at_d,3
ivaeq_over_act_d,3
ivaeq_over_invt_d,3
ivaeq_over_ppent_d,3
ivaeq_over_lct_d,3
ivaeq_over_dltt,4
ivaeq_over_dltt_d,3
ivaeq_over_sale_d,3
ivaeq_over_xsga,3
ivaeq_over_xsga_d,3
ivaeq_d_over_xsga,3
ivao_over_at_d,3
ivao_over_invt,3
ivao_over_invt_d,3
ivao_over_ppent_d,3
ivao_over_lct_d,3
ivao_over_ceq_d,3
ivao_over_sale_d,5
ivao_over_xsga_d,5
ivao_over_emp_d,5
ivao_over_mktcap_d,5
ivao_d_over_dltt,20
ivao_d_over_xsga,20
ivch_over_invt,20
ivch_over_dltt,20
ivch_over_dltt_d,20
ivch_over_emp_d,20
ivch_over_mktcap,20
ivch_over_mktcap_d,3
ivch_d_over_invt,20
ivch_d_over_dltt,4
ivncf_over_invt,5
ivncf_over_dltt,5
ivncf_over_dltt_d,5
ivncf_over_sale,5
ivncf_d_over_invt,20
ivncf_d_over_ppent,20
ivncf_d_over_dltt,20
ivst_over_invt,20
ivst_over_invt_d,20
ivst_over_ppent_d,20
ivst_over_dltt_d,20
ivst_over_seq_d,20
ivst_over_cogs_d,20
ivst_over_xsga_d,20
ivst_over_mktcap_d,20
ivst_d_over_invt,20
ivst_d_over_dltt,20
ivst_d_over_icapt,20
ivstch_over_dltt,20
lco_over_act,20
lco_over_lt,20
lco_over_lct_d,20
